DUE,STATUS,TYPE,TOPIC,CLASS
1/12/22,Complete,Reading,6.2 Area Between Curves,Math 172
1/12/22,Complete,Reading,DD CPP 1.1-1.4,Cpt_S 122
1/12/22,Complete,Reading,Syllabus 1.1 1.1,Math 216
1/13/22,Complete,Quiz,Quiz 1,Math 172
1/14/22,Complete,Reading,6.3a Volumes by Slicing,Math 172
1/14/22,Complete,Reading,HK 13.1-13.3 DDC 12.1-12.2,Cpt_S 122
1/14/22,Complete,Reading,1 Concepts of Motion,Phys 201
1/14/22,Complete,Reading,1.3,Math 216
1/18/22,Complete,Lab,Motion along straight line,Phys 211
1/18/22,Complete,Homework,MML 04,Math 172
1/19/22,Complete,Reading,6.3b More on Slicing,Math 172
1/19/22,Complete,Reading,Opt: HK 13.4 DD C 12.3,Cpt_S 122
1/19/22,Complete,Reading,1 Kinematics in One Dimension,Phys 201
1/19/22,Complete,Reading,1.1,Math 216
1/19/22,Complete,Homework,HW 1,Math 216
1/20/22,Complete,Homework,MML 06.1,Math 172
1/21/22,Complete,Reading,6.4 Volumes by Shells,Math 172
1/21/22,Complete,Reading,1 Kinematics in One Dimension,Phys 201
1/21/22,Complete,Reading,1.2,Math 216
1/21/22,Complete,Homework,Assignment 1,Phys 201
1/21/22,Complete,Homework,Written 1,Math 172
1/23/22,Complete,Homework,MML 06.2,Math 172
1/23/22,Complete,Homework,Assignment 2,Phys 201
1/24/22,Complete,Reading,6.5 Arc Length,Math 172
1/24/22,Complete,Reading,2 Vectors,Phys 201
1/24/22,Complete,Reading,1.3,Math 216
1/25/22,Complete,Lab,Free Fall,Phys 211
1/25/22,Complete,Homework,Lab Report 0,Phys 211
1/25/22,Complete,Homework,MML 06.3,Math 172
1/26/22,Complete,Reading,7.1 Exponentials and Logs,Math 172
1/26/22,Complete,Homework,PA 1,Cpt_S 122
1/26/22,Complete,Quiz,Quiz 1,Cpt_S 122
1/26/22,Complete,Reading,3 Kinematics in Two Dimensions,Phys 201
1/26/22,Complete,Reading,3.1,Math 216
1/26/22,Complete,Homework,Assignment 3,Phys 201
1/27/22,Complete,Quiz,Quiz 1,Math 172
1/27/22,Complete,Homework,MML 06.4,Math 172
1/28/22,Complete,Reading,7.3 Hyperbolic Function,Math 172
1/28/22,Complete,Reading,DD CPP 6.11 Opt: HK 13.5 DD C 12.4,Cpt_S 122
1/28/22,Complete,Reading,3 Kinematics in Two Dimensions,Phys 201
1/28/22,Complete,Reading,2.3,Math 216
1/28/22,Complete,Homework,Written 1,Math 172
1/28/22,Complete,Homework,Assignment 4,Phys 201
1/30/22,Complete,Homework,Assignment 5,Phys 201
1/30/22,Complete,Homework,MML 07.0,Math 172
1/31/22,Complete,Reading,8.1 Basic Integration,Math 172
